2019-12-20 19:27:22,580| superadmin| Basic| 172.25.0.2| GET| /version| 200 
2019-12-20 19:27:23,329| superadmin| Basic| 172.25.0.2| GET| /idp/spConnections| 200 
2019-12-20 19:27:23,336| superadmin| Basic| 172.25.0.2| GET| /oauth/clients| 200 
2019-12-20 19:27:23,549| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
2019-12-20 19:27:23,588| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/PingCentralOIDC01| 200 
2019-12-20 19:27:23,607| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
2019-12-20 19:29:01,595| superadmin| Basic| 172.25.0.2| GET| /idp/spConnections| 200 
2019-12-20 19:29:01,641| superadmin| Basic| 172.25.0.2| GET| /oauth/clients| 200 
2019-12-20 19:29:01,667| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
2019-12-20 19:29:01,758| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/PingCentralOIDC01| 200 
2019-12-20 19:29:01,796| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
2019-12-20 19:34:01,671| superadmin| Basic| 172.25.0.2| GET| /idp/spConnections| 200 
2019-12-20 19:34:01,848| superadmin| Basic| 172.25.0.2| GET| /oauth/clients| 200 
2019-12-20 19:34:01,878| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
2019-12-20 19:34:01,901| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/PingCentralOIDC01| 200 
2019-12-20 19:34:01,921| superadmin| Basic| 172.25.0.2| GET| /oauth/openIdConnect/policies/OasisOIDC01| 200 
