2019-12-20 17:09:34,023 | Administrator |  | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Incorrect password
2019-12-20 17:09:41,072 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 17:10:36,660 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 17:11:25,951 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | CONFIG_ARCHIVE | IMPORT |  | pingfederate-v9.3.3-data-12-12-2019.zip
2019-12-20 17:17:08,070 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | SERVER_SETTINGS | MODIFY |  | 
2019-12-20 17:27:21,259 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 17:41:00,968 | Admini |  | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Incorrect password
2019-12-20 17:41:10,781 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 18:35:49,591 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 18:52:56,733 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 18:54:51,787 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | DATA_STORE | MODIFY |  | ProvisionerDS
2019-12-20 18:54:51,795 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | DATA_STORE | CREATE |  | LDAP-7854A117B34AB0A2474B036500325BDF4264B240
2019-12-20 18:55:09,249 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 18:55:37,852 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
2019-12-20 19:25:16,576 | Administrator | UserAdmin,Admin,CryptoAdmin | 172.30.4.65 | USER | LOGIN_ATTEMPT |  | Login was successful
